date,symbol,security_name,premarket_pub,before_eps_date,after_eps_date,Adj Close,Close,Adj Close_pct_change,Close_pct_change,EPS Estimate,Reported EPS,Surprise(%),premarket
2023-01-25,AXTA,Axalta Coating Systems Ltd. Common Shares,0,2023-01-25,2023-01-26,28.760000228881836,28.760000228881836,0.0484870546448772,0.0484870546448772,0.35,0.38,0.0753,
2023-01-25,BA,Boeing Company (The) Common Stock,1,2023-01-24,2023-01-25,212.67999267578125,212.67999267578125,0.0033021839907096,0.0033021839907096,0.26,-1.75,-7.8343,1.0
2023-01-25,BFST,"Business First Bancshares, Inc. - Common Stock",0,2023-01-25,2023-01-26,20.829999923706055,20.829999923706055,-0.0043021105286646,-0.0043021105286646,0.6,0.66,0.0942,
2023-01-25,BLFY,Blue Foundry Bancorp - Common Stock,1,2023-01-24,2023-01-25,12.399999618530272,12.399999618530272,0.0016154688129628,0.0016154688129628,0.01,0.02,1.2222,1.0
2023-01-25,BOKF,BOK Financial Corporation - Common Stock,1,2023-01-24,2023-01-25,99.1500015258789,99.1500015258789,-0.0014100049184967,-0.0014100049184967,2.25,2.51,0.1139,1.0
2023-01-25,BOOT,"Boot Barn Holdings, Inc. Common Stock",0,2023-01-25,2023-01-26,87.41999816894531,87.41999816894531,0.1754739134114533,0.1754739134114533,1.75,1.74,-0.0067,
2023-01-25,BPOP,"Popular, Inc. - Common Stock",1,2023-01-24,2023-01-25,66.16000366210938,66.16000366210938,-0.0318992214310753,-0.0318992214310753,2.62,3.56,0.3597999999999999,1.0
2023-01-25,BRKL,"Brookline Bancorp, Inc. - Common Stock",1,2023-01-24,2023-01-25,13.43000030517578,13.43000030517578,-0.0095870287918908,-0.0095870287918908,0.4,0.39,-0.0133,1.0
2023-01-25,BWB,"Bridgewater Bancshares, Inc. - Common Stock",0,2023-01-25,2023-01-26,16.350000381469727,16.350000381469727,-0.049418624637576,-0.049418624637576,0.47,0.45,-0.0453,
2023-01-25,CACI,"CACI International, Inc. Class A Common Stock",0,2023-01-25,2023-01-26,303.80999755859375,303.80999755859375,0.0422298372507503,0.0422298372507503,4.39,4.28,-0.0244,
2023-01-25,CALX,"Calix, Inc Common Stock",0,2023-01-25,2023-01-26,56.5,56.5,-0.0250215831552976,-0.0250215831552976,0.25,0.34,0.3498,
2023-01-25,CASH,"Pathward Financial, Inc. - Common Stock",0,2023-01-25,2023-01-26,49.04999923706055,49.04999923706055,0.0726000377882762,0.0726000377882762,0.8,0.98,0.2181,
2023-01-25,CATY,Cathay General Bancorp - Common Stock,0,2023-01-25,2023-01-26,41.9900016784668,41.9900016784668,-0.0209838592676421,-0.0209838592676421,1.37,1.33,-0.0318,
2023-01-25,CCI,Crown Castle Inc. Common Stock,0,2023-01-25,2023-01-26,148.1300048828125,148.1300048828125,0.0182855821804366,0.0182855821804366,0.98,0.95,-0.0267,
2023-01-25,CNS,Cohen & Steers Inc Common Stock,0,2023-01-25,2023-01-26,69.29000091552734,69.29000091552734,-0.0328028823861303,-0.0328028823861303,0.76,0.79,0.0395,
2023-01-25,CPF,Central Pacific Financial Corp New,1,2023-01-24,2023-01-25,22.38999938964844,22.38999938964844,0.0712918563786531,0.0712918563786531,0.6,0.74,0.2402,1.0
2023-01-25,CSX,CSX Corporation - Common Stock,0,2023-01-25,2023-01-26,30.149999618530273,30.149999618530273,-0.0289854956729291,-0.0289854956729291,0.46,0.47,0.0113,
2023-01-25,CUBI,"Customers Bancorp, Inc Common Stock",0,2023-01-25,2023-01-26,26.760000228881836,26.760000228881836,-0.1595477355326947,-0.1595477355326947,1.59,0.77,-0.5163,
2023-01-25,CVLG,"Covenant Logistics Group, Inc. - Class A Common Stock",1,2023-01-24,2023-01-25,38.43000030517578,38.43000030517578,0.0319548489010159,0.0319548489010159,1.42,1.37,-0.0318,1.0
